Delivery Number,Company Name/Contact Name,Address 1,Address 2,Address 3,City,State,Postal Code,Country,Product ID,Quantity,Sales Order,Shipping Conditions,Delivery Instructions,Carrier,Planned Ship Date
8377206222,A O Smith,1100 E Fairview Ave,,,Johnson City,TN,37601-3504,US,CS8840B1127/B,96,32068515,Weber Logi,Include copy of Master Packing List with BOL for truckload shipments.,,08/14/2024
8377206223,Weil-Mclain,523 S New Street,,,Eden,NC,27288,US,VR8204A2001/B,420,32100048,Virtual Ve,Please email all freight routing requests to: SPXLTL@shipdlx.com OR call913-274-3800 and ask for Jim Williams to schedule your pickup requestAPPLY CUSTOMER BARCODE LABELSDOCK 4 AND LDC USE CLEAR SHRINKWRAPPUT PACK SLIP IN POUCH ATTACH TO OUTSIDE PALLET,,08/14/2024
8377206224,Bradford-White Corp,925 Crane Rd,,,Middleville,MI,49333,US,VR8204A8909/B,40,31977524,Virtual Ve,STAMP CUST PART NMBR ON OVERPACK MUST DO NOT MIX SHIPMENTS FOR ACCT 84276 AND1189055 ALL PALLETS MUST BE STRETCH WRAPPED AND BANDED(ship only with customer approval)Contact Kevin Luken for approvalat W:269-795-3364 ext.3027 C:312-953-0696 or klukens@bradfordwhite.comBackup: Kevin KeltyW: 269-795-3364 Ext. 3097 or kkelty@bradfordwhite.com,,08/14/2024
8377206225,Rheem Manufacturing C0,5600 Old Greenwood R,,,Fort Smith,AR,72908,US,VR8305Q4857/B,40,32050466,Federal Ex,LTL limit of 11 skids or 26 feet. Truck load limit of 22 skids,,08/14/2024
8377206226,A O Smith Water Products,25589 Highway One,,,Mc Bee,SC,29101,US,IS20240-5287/B,100,31839406,UPS,Apply Barcode Labels on Overpack Carton,,08/14/2024
8377206227,Taylor Company,4732 Prairie Hill Ro,,,South Beloit,IL,61080,US,IS20258-5331/B,200,30413175,UPS,Ship.evanstrans.com/v/wpw4gw6d4t Vendor code will auto populate ClickLogin. Select Taylor company inbound. Questions call 800-886-7799 oremail taylor@evanstrans.com,,08/14/2024
8377206235,Combustion Research Corp,2516 Leach Road,,,Rochester,MI,48309-3555,US,VR8205K2247/B,20,31359027,UPS,For all LTL shipments please contact: detroitfreight@wwex.com833-693-7447,,08/13/2024
8377206236,Raypak Inc,2151 Eastman Avenue,,,Oxnard,CA,93030,US,VR8305Q4385/B,20,32043238,UPS,STAMP CUSTOMER PART NUMBER ON OVERPACK CARTONS SDC CHECK ALL OF THEQ3451K WHEN PULLING,,08/13/2024
8377206237,Schwank Limited,5285 Bradco Blvd,,,Mississauga,ON,L4W 2A6,CA,IS20284-5734/B,100,32060280,UPS,,,08/13/2024
8377206238,域适都智能装备（天津）有限公司,天津经济技术开发区南海路156号津滨发展,,,天津,12,300457,CN,VR8205K2247/B,180,32077351,Expeditors,,,08/13/2024
8377206239,ECS Ferndale,69555 Salashan Parkw,,,Ferndale,WA,98248,US,SV9501M2700/B,100,32095788,,,,08/13/2024
8377206240,Frymaster Corporation,8700 Line Avenue,,,Shreveport,LA,71106-6814,US,Q366A1020/B,100,32080350,UPS,ALL SHIPMENTS MUST BE BAR CODED UPS COLLECT USE ACCT # 700062,,08/14/2024
8377206241,Revent Incorporated,22 Roosevelt Ave  Su,,,Somerset,NJ,08873,US,VR8305M4801/B,40,31831490,UPS,,,08/15/2024
8377206242,Studio Iron,3400 W Edge St,,,Apache Junction,AZ,85120-7166,US,VR8304M3103/B,60,31994876,UPS,,,08/15/2024
8377206243,Marshall Air Systems Inc,419 Peachtree Drive,,,Charlotte,NC,28217-2061,US,SV9501M2700/B,40,32099949,UPS,,,08/14/2024
8377206244,DENNIS SUPPLY COMPANY,800 S. LINCOLN ST,,,GRAND ISLAND,NE,68801,US,393691/U,1,32112885,UPS,,,08/14/2024
